;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
91;HJA ;LIYODU;Kayu Merah; F7 ;BL89, BL90;2016; 22,21 ; 2.947,00 ; 2.695,00 ;; 252 ; Damimas ;;; 121 
92;HJA ;LIYODU;Kayu Merah; F8 ;BL86, BL87;2016; 19,13 ; 2.407,00 ; 2.240,00 ;; 167 ; Damimas ;;; 117 
93;HJA ;LIYODU;Kayu Merah; F9 ;BL88, BK85;2016; 35,20 ; 4.676,00 ; 3.925,00 ;; 751 ; Damimas ;;; 112 
94;HJA ;LIYODU;Bakti; G1 ;C44, C45, C46, C47, D44, D45, D46,D48;2017; 26,30 ; 3.603,00 ; 3.101,00 ;; 502 ; Damimas ;;; 118 
95;HJA ;LIYODU;Bakti; G2 ;B51, B52, C48, C49, C50;2017; 23,50 ; 3.004,00 ; 2.622,00 ;; 382 ; Socfindo ;;; 112 
96;HJA ;LIYODU;Bakti; G3 ;A48, B46, B47, B48, B49, B50;2017; 27,02 ; 3.626,00 ; 2.985,00 ;; 641 ; Socfindo ;;; 110 
97;HJA ;LIYODU;Bakti; G4 ;D47, D51, D52, E45, E46, E47, D54;2017; 26,59 ; 3.664,00 ; 3.366,00 ;; 298 ; Damimas ;;; 127 
98;HJA ;LIYODU;Bakti; G10 ;A46;2019; 0,68 ; - ; - ;; -   ;Kosong;;; -   
99;HJA ;LIYODU;Bakti; G11 ;A47;2019; 0,77 ; - ; - ;; -   ;Kosong;;; -   
100;APK;ASPARAGA;Sukamaju;Q1;BS28,BS30;2017; 16,89 ; 1.839,00 ; 1.005 ;; 834 ;DAMIMAS;;; 59 
101;APK;ASPARAGA;Sukamaju;Q2;BS31;2016; 25,48 ; 2.006,00 ; 1.370 ;; 636 ;DAMIMAS;;; 54 
102;APK;ASPARAGA;Sukamaju;Q3;BT29, BT30;2016; 22,35 ; 3.609,00 ; 1.855 ;; 1.754 ;DAMIMAS;;; 83 
103;APK;ASPARAGA;Sukamaju;Q4;BT31,BT33;2016; 14,59 ; 3.059,00 ; 1.745 ;; 1.314 ;DAMIMAS;;; 120 
104;APK;ASPARAGA;Sukamaju;Q5;BT32;2017; 7,38 ; 2.323,00 ; 795 ;; 1.528 ;DAMIMAS;;; 108 
105;APK;ASPARAGA;Sukamaju;Q6;BT25, BT27, BT28;2016; 20,54 ; 702,00 ; 877 ;; (175);DAMIMAS;;; 43 
106;APK;ASPARAGA;Sukamaju;Q7;BT23, BT26;2017; 13,33 ; 577,00 ; 397 ;; 180 ;DAMIMAS;;; 30 
107;APK;ASPARAGA;Sukamaju;Q8;BT22,BT24;2016; 33,55 ; 1.967,00 ; 1.160 ;; 807 ;DAMIMAS;;; 35 
108;APK;ASPARAGA;Sukamaju;Q9;BU22,BU25;2016; 24,96 ; 940,00 ; 2.648 ;; (1.708);DAMIMAS;;; 106 
109;APK;ASPARAGA;Sukamaju;Q10;BV27, BV30;2016; 17,57 ; 859,00 ; 1.672 ;; (813);DAMIMAS;;; 95 
110;APK;ASPARAGA;Sukamaju;Q11;BV28, BV29;2017; 24,84 ; 1.510,00 ; 1.535 ;; (25);DAMIMAS;;; 62 
111;APK;ASPARAGA;Sukamaju;Q12;BV25, BV26;2017; 33,43 ; 1.016,00 ; 1.577 ;; (561);DAMIMAS;;; 47 
112;APK;ASPARAGA;Sukamaju;Q13;BV24,BW23;2017; 28,81 ; 2.525,00 ; 635 ;; 1.890 ;DAMIMAS;;; 22 
113;APK;ASPARAGA;Sukamaju;Q14;BU21;2016; 18,90 ; 1.794,00 ; 640 ;; 1.154 ;DAMIMAS;;; 34 
114;APK;ASPARAGA;Sukamaju;Q15;BU20;2017; 18,45 ; 1.868,00 ; 405 ;; 1.463 ;DAMIMAS;;; 22 
115;APK;ASPARAGA;Sukamaju;Q16;BT18,BT20;2017; 28,28 ; 1.397,00 ; 1.360 ;; 37 ;DAMIMAS;;; 48 
